project,date,chip_id,run_id,well_id,well_dir,well_key,metrics_unfiltered,network_json,tm_curated,spike_times,tm_unfiltered,rejection_log,metrics_curated,has_network_json,has_metrics_curated,has_metrics_unfiltered,has_tm_curated,has_tm_unfiltered,has_spike_times,has_rejection_log,n_units_network_json,is_manual_outlier,manual_outlier_reason,group,plate_index_0based,plate_row,plate_col,plate_well,group_from_plate_col,recording_date,recording_date_str,DIV,days_since_treatment,treatment_phase,time_bin_index,time_bin_start_day,time_bin_end_day,time_bin_center_day,time_bin_label,exclusion_reasons
CX138,260319,T003346,000004,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022,CX138|260319|T003346|000004|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000004/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,5.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-19,2026-03-19,6,-6,pre_treatment,-2,-6,-4,-5.0,D-6 to D-4,manual_outlier
CX138,260319,T003346,000005,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022,CX138|260319|T003346|000005|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260319/T003346/Network/000005/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,2.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-19,2026-03-19,6,-6,pre_treatment,-2,-6,-4,-5.0,D-6 to D-4,manual_outlier
CX138,260321,T003346,000007,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022,CX138|260321|T003346|000007|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260321/T003346/Network/000007/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,6.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-21,2026-03-21,8,-4,pre_treatment,-2,-6,-4,-5.0,D-6 to D-4,manual_outlier
CX138,260323,T003346,000009,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022,CX138|260323|T003346|000009|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260323/T003346/Network/000009/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,7.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-23,2026-03-23,10,-2,pre_treatment,-1,-3,-1,-2.0,D-3 to D-1,manual_outlier
CX138,260325,T003346,000012,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022,CX138|260325|T003346|000012|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000012/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,41.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-25,2026-03-25,12,0,pre_treatment,0,0,2,1.0,D+0 to D+2,manual_outlier
CX138,260325,T003346,000014,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022,CX138|260325|T003346|000014|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260325/T003346/Network/000014/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,17.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-25,2026-03-25,12,0,pre_treatment,0,0,2,1.0,D+0 to D+2,manual_outlier
CX138,260326,T003346,000016,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022,CX138|260326|T003346|000016|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260326/T003346/Network/000016/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,25.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-26,2026-03-26,13,1,post_treatment,0,0,2,1.0,D+0 to D+2,manual_outlier
CX138,260327,T003346,000019,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022,CX138|260327|T003346|000019|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260327/T003346/Network/000019/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,29.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-27,2026-03-27,14,2,post_treatment,0,0,2,1.0,D+0 to D+2,manual_outlier
CX138,260328,T003346,000027,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022,CX138|260328|T003346|000027|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260328/T003346/Network/000027/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,33.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-28,2026-03-28,15,3,post_treatment,1,3,5,4.0,D+3 to D+5,manual_outlier
CX138,260329,T003346,000029,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022,CX138|260329|T003346|000029|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260329/T003346/Network/000029/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,37.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-29,2026-03-29,16,4,post_treatment,1,3,5,4.0,D+3 to D+5,manual_outlier
CX138,260330,T003346,000031,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022,CX138|260330|T003346|000031|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,32.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-30,2026-03-30,17,5,post_treatment,1,3,5,4.0,D+3 to D+5,manual_outlier
CX138,260401,T003346,000033,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022,CX138|260401|T003346|000033|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,23.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-01,2026-04-01,19,7,post_treatment,2,6,8,7.0,D+6 to D+8,manual_outlier
