metric,x_value,test_type,comparison,statistic,p_value,effect_size,n_group_1,n_group_2,p_adj,metric_label
n_units_network_json_ratio,3,anova,all_groups,4.860594287148114,0.0008011583849229193,,,,0.0008011583849229193,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,3,welch_t,CT vs IVH-L,-4.494974669838594,0.00020755984225180168,-1.8350657246399729,12.0,12.0,0.01303348055965973,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,3,welch_t,IVH-L vs NPH,4.362303141118829,0.0002569872670475898,1.7809027998469018,12.0,12.0,0.013724921075605398,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,anova,all_groups,8.637015814816937,2.8194540212307113e-06,,,,2.8194540212307113e-06,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,welch_t,10uM vs IVH-E,5.5960859725770975,3.832460114484454e-05,2.2845925315934044,12.0,12.0,0.005748690171726681,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,welch_t,20uM vs IVH-E,5.586813297272772,6.611402963073459e-05,2.516451802459413,9.0,12.0,0.007437828333457641,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,welch_t,CT vs IVH-E,4.018684498969055,0.0007097021037167734,1.6406210766177425,12.0,12.0,0.027770951884569395,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,welch_t,IVH-E vs IVH-L,-4.419419247004511,0.00025924850920587973,-1.804220352432684,12.0,12.0,0.013724921075605398,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,6,welch_t,IVH-E vs NPH,-5.7427506542658655,1.5746375842909083e-05,-2.3444681371642706,12.0,12.0,0.002834347651723635,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,9,anova,all_groups,6.226923646872696,5.856492498100683e-05,,,,5.856492498100683e-05,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,9,welch_t,10uM vs IVH-E,5.652231035443555,5.069367812953541e-06,2.0212827374899227,16.0,15.0,0.0015208103438860622,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,9,welch_t,20uM vs IVH-E,4.159213491423514,0.0004149855599001466,1.6244391363195991,12.0,15.0,0.018674350195506596,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,9,welch_t,IVH-E vs IVH-L,-3.9881326951368252,0.0006879770844194649,-1.456260159633542,15.0,15.0,0.027770951884569395,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,9,welch_t,IVH-E vs NPH,-4.8728539745973,4.50080902185617e-05,-1.7407536480858823,15.0,16.0,0.005786754456672219,n_units_network_json (ratio to baseline)
network_bursts_burst_peak_mean_ratio,6,anova,all_groups,5.953517242624821,0.0001753310361993008,,,,0.0001753310361993008,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,6,welch_t,IVH-E vs NPH,-4.241545230441851,0.000766340032329437,-1.7638175140840149,9.0,12.0,0.028737751212353887,network_bursts_burst_peak_mean (ratio to baseline)
