well_key,template_n_rows,template_n_unique_units,template_peak_to_valley,template_peak_trough_ratio,template_half_width,template_repolarization_slope,template_recovery_slope
CX138|260319|T003346|000004|well000,77,77,0.00061,-0.2032203416968394,0.00024,144918.6429185834,-8364.868523738316
CX138|260319|T003346|000004|well001,154,154,0.00058,-0.19535576994179715,0.00024,143878.70923176536,-7732.7348487689005
CX138|260319|T003346|000004|well002,126,126,0.00059,-0.1975527907824104,0.00024,144038.34650927765,-7613.157116268865
CX138|260319|T003346|000004|well003,135,135,0.00057,-0.1841824205665077,0.00024,149885.6819954046,-7403.870083787747
CX138|260319|T003346|000004|well004,106,106,0.000595,-0.19270442689850026,0.00024,150840.9918225411,-7765.586433494987
CX138|260319|T003346|000004|well005,94,94,0.00061,-0.1908836795937914,0.00024,146388.2165610118,-7408.147321317483
CX138|260319|T003346|000004|well006,94,94,0.00064,-0.2032854873115839,0.000245,145027.55687520257,-8351.10514374174
CX138|260319|T003346|000004|well007,69,69,0.00065,-0.1999769646349558,0.00026,132003.4487246598,-7763.50810608397
CX138|260319|T003346|000004|well008,68,68,0.000645,-0.20389484086892115,0.00026,133000.33181424506,-8292.530594791564
CX138|260319|T003346|000004|well009,87,87,0.00067,-0.1951918997048755,0.00025,143701.9526839647,-8176.330679195456
CX138|260319|T003346|000004|well010,44,44,0.000655,-0.18843598637844616,0.000245,155133.37035545605,-7353.916641211692
CX138|260319|T003346|000004|well011,80,80,0.00066,-0.201765651837031,0.00025,136721.18643708207,-8052.483893901834
CX138|260319|T003346|000004|well012,81,81,0.00065,-0.1924773711484489,0.00024,151205.1112170624,-7397.67521588703
CX138|260319|T003346|000004|well013,14,14,0.000615,-0.1969160010828615,0.000255,134917.97743006304,-8023.23196708156
CX138|260319|T003346|000004|well014,54,54,0.00066,-0.20206926708725856,0.000245,131381.91193130094,-7829.353232189031
CX138|260319|T003346|000004|well015,63,63,0.00064,-0.1999758220503005,0.00026,131971.003302212,-7638.463714017037
CX138|260319|T003346|000004|well016,47,47,0.00061,-0.1922187724374747,0.00025,148515.9607506107,-8572.70739452599
