well_key,unit_n_rows,unit_n_unique_units,unit_firing_rate,unit_amplitude_median,unit_presence_ratio,unit_rp_contamination,unit_snr,unit_loc_x,unit_loc_y
CX138|260319|T003346|000004|well000,77,77,0.6965737901613119,-31.47125244140625,1.0,0.0,4.129650032758747,1574.999999999995,1190.0
CX138|260319|T003346|000004|well001,154,154,0.6632449006799095,-31.47125244140625,1.0,0.0,4.226926484928784,1587.297482240538,1022.7735368900326
CX138|260319|T003346|000004|well002,126,126,0.6365817890947875,-31.47125244140625,1.0,0.0,4.194732990413149,1361.1200976101245,1093.7499999999925
CX138|260319|T003346|000004|well003,135,135,0.589921343820824,-31.47125244140625,1.0,0.0,4.2402904884768,1680.0,1172.499999999986
CX138|260319|T003346|000004|well004,106,106,0.4882682309025464,-31.47125244140625,1.0,0.0,4.158723816124661,2339.9902620216662,949.936567271823
CX138|260319|T003346|000004|well005,94,94,0.8682175709905346,-31.47125244140625,1.0,0.0,4.095785531844966,1513.6762219471684,936.2499999999948
CX138|260319|T003346|000004|well006,94,94,0.4716037861618452,-31.47125244140625,1.0,0.0,4.313187031021426,1860.8642837008824,1036.756922802354
CX138|260319|T003346|000004|well007,69,69,0.5132648980135982,-31.47125244140625,1.0,0.0,4.016280141393515,1802.5,1119.999999999995
CX138|260319|T003346|000004|well008,68,68,0.643247566991068,-31.47125244140625,1.0,0.0,4.029660622616738,1741.25,1124.9366963827683
CX138|260319|T003346|000004|well009,87,87,0.656579122783629,-31.47125244140625,1.0,0.0,4.283225651707946,1604.316873426654,837.4553247030965
CX138|260319|T003346|000004|well010,44,44,0.5599253432875617,-31.47125244140625,1.0,0.0,4.2621319009893845,2100.0,1047.8444518652163
CX138|260319|T003346|000004|well011,80,80,0.6065857885615251,-31.47125244140625,1.0,0.0,4.007146935470635,2205.000001236092,708.7500000144597
CX138|260319|T003346|000004|well012,81,81,0.5332622317024397,-31.47125244140625,1.0,0.0,4.22359175458625,2183.276840952369,962.4999999999974
CX138|260319|T003346|000004|well013,14,14,0.7032395680575925,-31.47125244140625,1.0,0.0,4.166447596960497,3281.25,901.25
CX138|260319|T003346|000004|well014,54,54,0.5015997866951074,-31.47125244140625,1.0,0.0,4.061765246736957,2065.0,1084.999999999996
CX138|260319|T003346|000004|well015,63,63,0.4132782295693908,-31.47125244140625,1.0,0.0,4.018382505858609,2344.999999999985,1225.0
CX138|260319|T003346|000004|well016,47,47,0.6632449006799094,-31.47125244140625,1.0,0.0,4.359709123180551,2257.5,1119.999999999994
CX138|260319|T003346|000004|well017,81,81,0.6132515664578057,-31.47125244140625,1.0,0.0,4.030487350606882,2384.46204561459,770.0
CX138|260319|T003346|000004|well018,62,62,0.6465804559392081,-31.47125244140625,1.0,0.0,4.031719418757339,1505.0,1163.75
CX138|260319|T003346|000004|well019,90,90,0.656579122783629,-31.47125244140625,1.0,0.0,4.03557300417683,1775.68177446227,997.4999999999975
CX138|260319|T003346|000004|well020,110,110,0.49660045327289704,-31.47125244140625,1.0,0.0,4.142426097116525,1572.6201773623595,988.75
CX138|260319|T003346|000004|well021,59,59,0.509932009065458,-31.47125244140625,1.0,0.0,4.292960971885067,2205.0,1154.999999999995
CX138|260319|T003346|000004|well023,115,115,0.5265964538061593,-31.47125244140625,1.0,0.0,4.190854060526063,1698.355908089853,1260.0
